exchange,symbol,base_asset,quote_asset
binance,BTCUSDT,BTC,USDT
binance,ETHUSDT,ETH,USDT
binance,SOLUSDT,SOL,USDT
binance,XRPUSDT,XRP,USDT
binance,ADAUSDT,ADA,USDT
binance,DOGEUSDT,DOGE,USDT
binance,AVAXUSDT,AVAX,USDT
binance,LINKUSDT,LINK,USDT
binance,DOTUSDT,DOT,USDT
binance,LTCUSDT,LTC,USDT
kraken,XBT-USDT,BTC,USDT
kraken,ETH-USDT,ETH,USDT
kraken,SOL-USDT,SOL,USDT
kraken,XRP-USDT,XRP,USDT
kraken,ADA-USDT,ADA,USDT
kraken,DOGE-USDT,DOGE,USDT
kraken,AVAX-USDT,AVAX,USDT
kraken,LINK-USDT,LINK,USDT
kraken,DOT-USDT,DOT,USDT
kraken,LTC-USDT,LTC,USDT
coingecko,BTC,BTC,USD
coingecko,ETH,ETH,USD
coingecko,SOL,SOL,USD
coingecko,XRP,XRP,USD
coingecko,ADA,ADA,USD
coingecko,DOGE,DOGE,USD
coingecko,AVAX,AVAX,USD
coingecko,LINK,LINK,USD
coingecko,DOT,DOT,USD
coingecko,LTC,LTC,USD
cryptocompare,BTC,BTC,USD
cryptocompare,ETH,ETH,USD
cryptocompare,SOL,SOL,USD
cryptocompare,XRP,XRP,USD
cryptocompare,ADA,ADA,USD
cryptocompare,DOGE,DOGE,USD
cryptocompare,AVAX,AVAX,USD
cryptocompare,LINK,LINK,USD
cryptocompare,DOT,DOT,USD
cryptocompare,LTC,LTC,USD
